District,District Name,Discipline School,Discipline School Name,Discipline Code,Discipline Description,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female,Male,Total
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL,I,Suspension In-School,106,9,5,1,1,0,6,47,81,128
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL,O,Suspension Out-of-School,82,11,3,1,1,0,5,28,75,103
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,I,Suspension In-School,7,1,2,0,0,0,2,2,10,12
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,O,Suspension Out-of-School,9,3,2,0,0,0,1,2,13,15
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,I,Suspension In-School,26,44,1,0,0,0,7,27,51,78
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,O,Suspension Out-of-School,17,23,1,0,0,0,4,19,26,45
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,I,Suspension In-School,28,21,3,0,0,0,12,13,51,64
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,O,Suspension Out-of-School,16,13,1,0,0,0,4,4,30,34
03,BAY,0111,MERRIAM CHERRY STREET ELEMENTARY,I,Suspension In-School,28,46,5,1,0,0,7,26,61,87
03,BAY,0111,MERRIAM CHERRY STREET ELEMENTARY,O,Suspension Out-of-School,6,18,1,1,0,0,3,7,22,29
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHOOL,I,Suspension In-School,34,42,24,0,0,0,13,31,82,113
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHOOL,O,Suspension Out-of-School,11,17,12,0,0,0,2,11,31,42
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0141,EVERITT MIDDLE SCHOOL,I,Suspension In-School,92,107,13,1,1,2,30,97,149,246
03,BAY,0141,EVERITT MIDDLE SCHOOL,O,Suspension Out-of-School,75,76,9,0,0,2,22,57,127,184
03,BAY,0141,EVERITT MIDDLE SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,I,Suspension In-School,41,34,3,0,0,0,9,25,62,87
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,O,Suspension Out-of-School,22,24,2,0,0,0,7,12,43,55
03,BAY,0161,JINKS MIDDLE SCHOOL,I,Suspension In-School,68,74,28,5,0,1,14,80,110,190
03,BAY,0161,JINKS MIDDLE SCHOOL,O,Suspension Out-of-School,33,51,16,1,0,0,9,39,71,110
03,BAY,0161,JINKS MIDDLE SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,I,Suspension In-School,20,9,2,1,0,0,3,6,29,35
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,O,Suspension Out-of-School,9,3,0,0,0,0,3,1,14,15
03,BAY,0191,OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS,I,Suspension In-School,8,18,2,0,0,0,3,6,25,31
03,BAY,0191,OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS,O,Suspension Out-of-School,7,12,2,0,0,0,2,4,19,23
03,BAY,0201,SURFSIDE MIDDLE SCHOOL,I,Suspension In-School,114,17,11,1,0,0,17,66,94,160
03,BAY,0201,SURFSIDE MIDDLE SCHOOL,O,Suspension Out-of-School,70,10,10,1,0,0,8,32,67,99
03,BAY,0201,SURFSIDE MIDDLE SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0201,SURFSIDE MIDDLE SCHOOL,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
03,BAY,0211,PARKER ELEMENTARY SCHOOL,I,Suspension In-School,27,21,4,2,0,0,3,15,42,57
03,BAY,0211,PARKER ELEMENTARY SCHOOL,O,Suspension Out-of-School,22,15,2,0,0,0,3,13,29,42
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,I,Suspension In-School,30,0,0,0,0,0,0,4,26,30
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,O,Suspension Out-of-School,19,0,0,0,0,0,0,2,17,19
03,BAY,0231,SPRINGFIELD ELEMENTARY SCHOOL,I,Suspension In-School,23,56,8,0,0,0,6,34,59,93
03,BAY,0231,SPRINGFIELD ELEMENTARY SCHOOL,O,Suspension Out-of-School,16,33,4,0,0,0,7,17,43,60
03,BAY,0241,ST. ANDREW SCHOOL,I,Suspension In-School,8,4,1,1,0,0,1,4,11,15
03,BAY,0241,ST. ANDREW SCHOOL,O,Suspension Out-of-School,10,19,0,1,0,0,3,3,30,33
03,BAY,0241,ST. ANDREW SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0241,ST. ANDREW SCHOOL,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
03,BAY,0251,WALLER ELEMENTARY SCHOOL,I,Suspension In-School,48,0,0,0,0,0,1,7,42,49
03,BAY,0251,WALLER ELEMENTARY SCHOOL,O,Suspension Out-of-School,28,0,0,0,0,0,1,7,22,29
03,BAY,0251,WALLER ELEMENTARY SCHOOL,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
03,BAY,0262,WEST BAY ELEMENTARY SCHOOL,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
03,BAY,0262,WEST BAY ELEMENTARY SCHOOL,O,Suspension Out-of-School,10,0,0,0,0,0,0,0,10,10
03,BAY,0281,MARGARET K. LEWIS IN MILLVILLE,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
03,BAY,0291,OSCAR PATTERSON ELEMENTARY MAGNET,I,Suspension In-School,7,36,2,0,0,0,2,22,25,47
03,BAY,0291,OSCAR PATTERSON ELEMENTARY MAGNET,O,Suspension Out-of-School,21,50,2,0,0,0,5,21,57,78
03,BAY,0291,OSCAR PATTERSON ELEMENTARY MAGNET,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0331,MOWAT MIDDLE SCHOOL,I,Suspension In-School,142,84,11,2,0,1,13,89,164,253
03,BAY,0331,MOWAT MIDDLE SCHOOL,O,Suspension Out-of-School,92,61,7,3,0,0,13,56,120,176
03,BAY,0331,MOWAT MIDDLE SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0341,RUTHERFORD HIGH SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,0341,RUTHERFORD HIGH SCHOOL,F,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,0341,RUTHERFORD HIGH SCHOOL,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
03,BAY,0341,RUTHERFORD HIGH SCHOOL,I,Suspension In-School,119,115,19,6,1,1,14,113,162,275
03,BAY,0341,RUTHERFORD HIGH SCHOOL,O,Suspension Out-of-School,76,65,7,1,1,0,7,60,97,157
03,BAY,0341,RUTHERFORD HIGH SCHOOL,P,Placement in Alternative Educational Setting,0,10,1,0,0,0,1,5,7,12
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,I,Suspension In-School,51,11,5,1,0,0,5,14,59,73
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,O,Suspension Out-of-School,21,4,1,0,0,0,1,6,21,27
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,I,Suspension In-School,46,35,9,0,0,1,5,23,73,96
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,O,Suspension Out-of-School,27,15,6,0,0,0,1,12,37,49
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,F,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,I,Suspension In-School,174,42,17,2,2,0,9,86,160,246
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,O,Suspension Out-of-School,95,20,10,0,0,1,4,40,90,130
03,BAY,0491,A. CRAWFORD MOSLEY HIGH SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0501,TYNDALL ELEMENTARY SCHOOL,I,Suspension In-School,7,1,1,0,0,0,2,0,11,11
03,BAY,0501,TYNDALL ELEMENTARY SCHOOL,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,I,Suspension In-School,25,1,1,0,0,0,2,2,27,29
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,O,Suspension Out-of-School,16,1,0,0,0,0,0,1,16,17
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,I,Suspension In-School,27,1,1,0,0,1,3,8,25,33
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,L,Seclusion,*,*,*,*,*,*,*,*,*,*
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,O,Suspension Out-of-School,23,1,1,0,0,0,1,8,18,26
03,BAY,0531,NEW HORIZONS LEARNING CENTER,I,Suspension In-School,24,14,1,0,0,0,3,6,36,42
03,BAY,0531,NEW HORIZONS LEARNING CENTER,O,Suspension Out-of-School,64,40,3,0,0,0,5,20,92,112
03,BAY,0531,NEW HORIZONS LEARNING CENTER,P,Placement in Alternative Educational Setting,18,13,1,0,0,0,2,3,31,34
03,BAY,0541,DEANE BOZEMAN SCHOOL,I,Suspension In-School,206,1,4,0,1,1,3,75,141,216
03,BAY,0541,DEANE BOZEMAN SCHOOL,O,Suspension Out-of-School,108,1,2,0,1,1,1,28,86,114
03,BAY,0541,DEANE BOZEMAN SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0551,J.R. ARNOLD HIGH SCHOOL,I,Suspension In-School,186,23,18,5,0,3,9,96,148,244
03,BAY,0551,J.R. ARNOLD HIGH SCHOOL,O,Suspension Out-of-School,81,8,5,0,0,1,7,37,65,102
03,BAY,0551,J.R. ARNOLD HIGH SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0571,BREAKFAST POINT ACADEMY,I,Suspension In-School,126,15,16,3,0,1,11,58,114,172
03,BAY,0571,BREAKFAST POINT ACADEMY,O,Suspension Out-of-School,30,4,6,1,0,0,2,10,33,43
03,BAY,0571,BREAKFAST POINT ACADEMY,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0581,ROSENWALD HIGH SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,0581,ROSENWALD HIGH SCHOOL,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
03,BAY,0581,ROSENWALD HIGH SCHOOL,I,Suspension In-School,23,39,3,0,0,0,6,38,33,71
03,BAY,0581,ROSENWALD HIGH SCHOOL,O,Suspension Out-of-School,15,44,2,0,1,0,7,29,40,69
03,BAY,0581,ROSENWALD HIGH SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0581,ROSENWALD HIGH SCHOOL,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
03,BAY,0591,C C WASHINGTON ACADEMY,O,Suspension Out-of-School,28,28,5,0,0,0,3,23,41,64
03,BAY,0591,C C WASHINGTON ACADEMY,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0604,PANAMA CITY MARINE INSTITUTE,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
03,BAY,0604,PANAMA CITY MARINE INSTITUTE,O,Suspension Out-of-School,44,30,1,0,0,0,5,22,58,80
03,BAY,0604,PANAMA CITY MARINE INSTITUTE,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0701,BAY HAVEN CHARTER ACADEMY,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
03,BAY,0701,BAY HAVEN CHARTER ACADEMY,O,Suspension Out-of-School,8,4,1,0,0,0,1,3,11,14
03,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOOL,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
03,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOOL,I,Suspension In-School,28,3,2,0,1,1,1,11,25,36
03,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOOL,O,Suspension Out-of-School,17,7,4,0,0,2,1,9,22,31
03,BAY,0711,BAY HAVEN CHARTER MIDDLE SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0731,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,O,Suspension Out-of-School,34,8,6,0,0,1,1,15,35,50
03,BAY,0741,NORTH BAY HAVEN CAREER ACADEMY,O,Suspension Out-of-School,27,10,2,1,0,0,2,12,30,42
03,BAY,0751,NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
03,BAY,0751,NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL,O,Suspension Out-of-School,9,5,0,0,0,0,0,1,13,14
03,BAY,0771,PALM BAY PREPARATORY ACADEMY 6-12,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
03,BAY,0771,PALM BAY PREPARATORY ACADEMY 6-12,O,Suspension Out-of-School,25,6,7,0,0,1,1,13,27,40
03,BAY,2711,UNIVERSITY ACADEMY SABL INC,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0021,BRADFORD HIGH SCHOOL,I,Suspension In-School,94,47,6,2,0,0,6,55,100,155
04,BRADFORD,0021,BRADFORD HIGH SCHOOL,O,Suspension Out-of-School,61,24,2,1,2,0,3,36,57,93
04,BRADFORD,0021,BRADFORD HIGH SCHOOL,P,Placement in Alternative Educational Setting,6,3,1,0,0,0,1,2,9,11
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,C,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,I,Suspension In-School,7,5,1,0,0,0,0,4,9,13
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,O,Suspension Out-of-School,24,17,2,1,0,1,0,10,35,45
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,C,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,I,Suspension In-School,26,34,1,1,0,0,1,21,42,63
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,O,Suspension Out-of-School,10,12,0,0,0,0,0,7,15,22
04,BRADFORD,0131,LAWTEY ELEMENTARY SCHOOL,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0161,BROOKER ELEMENTARY SCHOOL,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0161,BROOKER ELEMENTARY SCHOOL,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0172,BRADFORD MIDDLE SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0172,BRADFORD MIDDLE SCHOOL,I,Suspension In-School,100,72,7,1,0,0,2,70,112,182
04,BRADFORD,0172,BRADFORD MIDDLE SCHOOL,O,Suspension Out-of-School,73,47,2,0,0,0,2,43,81,124
04,BRADFORD,0181,HAMPTON ELEMENTARY SCHOOL,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0181,HAMPTON ELEMENTARY SCHOOL,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0201,BRADFORD INTERVENTION CENTER,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,0201,BRADFORD INTERVENTION CENTER,O,Suspension Out-of-School,4,11,0,0,0,0,0,8,7,15
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,I,Suspension In-School,4,10,3,0,0,0,4,4,17,21
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,O,Suspension Out-of-School,97,102,18,1,0,0,19,72,165,237
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,P,Placement in Alternative Educational Setting,5,6,0,0,0,0,0,3,8,11
05,BREVARD,0011,TITUSVILLE HIGH SCHOOL,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,I,Suspension In-School,20,34,6,0,0,0,7,23,44,67
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,O,Suspension Out-of-School,27,38,6,0,0,0,6,22,55,77
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,R,Physical Restraint,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0052,JAMES MADISON MIDDLE SCHOOL,I,Suspension In-School,35,26,4,0,0,1,10,20,56,76
05,BREVARD,0052,JAMES MADISON MIDDLE SCHOOL,O,Suspension Out-of-School,24,19,2,0,0,0,4,15,34,49
05,BREVARD,0052,JAMES MADISON MIDDLE SCHOOL,P,Placement in Alternative Educational Setting,6,3,1,0,0,0,0,4,6,10
05,BREVARD,0052,JAMES MADISON MIDDLE SCHOOL,R,Physical Restraint,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0052,JAMES MADISON MIDDLE SCHOOL,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0061,APOLLO ELEMENTARY SCHOOL,I,Suspension In-School,16,25,2,0,0,0,10,13,40,53
05,BREVARD,0061,APOLLO ELEMENTARY SCHOOL,O,Suspension Out-of-School,13,15,2,0,0,0,7,9,28,37
05,BREVARD,0061,APOLLO ELEMENTARY SCHOOL,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0089,FIELDSTON PREPARATORY SCHOOL,R,Physical Restraint,*,*,*,*,*,*,*,*,*,*
05,BREVARD,0091,COQUINA ELEMENTARY SCHOOL,I,Suspension In-School,10,6,3,0,0,0,2,4,17,21
